S.No,Institute Code,Institute Name,Place,Dist. Name,Region,College Type,Minority,Co- Educ.,Affil. to,Branch Code,fee,Convener Seats
1,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,CSE,48000,42
2,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,CSM,48000,42
3,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,ECE,48000,42
4,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,EEE,48000,42
5,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,MEC,48000,42
6,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CIV,82000,42
7,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSD,82000,42
8,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSE,82000,126
9,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSM,82000,42
10,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSO,82000,42
11,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,ECE,82000,84
12,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,EEE,82000,42
13,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,INF,82000,42
14,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,MEC,82000,42
15,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CIV,66000,21
16,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSE,66000,84
17,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,ECE,66000,42
18,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,EEE,66000,42
19,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,MEC,66000,42
20,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MNC,OU,PVT,MUS,COED,KU,CSE,40000,21
21,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MNC,OU,PVT,MUS,COED,KU,EEE,40000,10
22,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MNC,OU,PVT,MUS,COED,KU,MIN,40000,21
