S.NO,Institute Code,Institute Name,Place,District Name,Region,College Type,Minority,Co-Educ,Affiliated To,Branch Code,Fee,Convener Seats
1,ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,CAI,42100,48
2,ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,AGR,42100,48
3,ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,CIV,42100,48
4,ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,CSE,42100,48
5,ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,CSD,42100,48
6,ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,ECE,42100,48
7,ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,EEE,42100,48
8,ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,MEC,42100,48
9,ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,MIN,42100,48
10,ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,MEC,40000,48
11,ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,EEE,40000,48
12,ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,ECE,40000,48
13,ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,CSE,40000,96
14,ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,CIV,40000,48
15,ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,CIV,40000,24
16,ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,CAI,40000,48
17,ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,AID,40000,96
18,ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,CSE,40000,144
19,ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,ECE,40000,144
20,ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,EEE,40000,24
21,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPURAM,EG,AU,PVT,NA,COED,JNTUK,EEE,53500,48
22,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPURAM,EG,AU,PVT,NA,COED,JNTUK,ECE,53500,336
23,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPURAM,EG,AU,PVT,NA,COED,JNTUK,MEC,53500,48
24,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPURAM,EG,AU,PVT,NA,COED,JNTUK,INF,53500,144
25,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPURAM,EG,AU,PVT,NA,COED,JNTUK,CSE,53500,480
26,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPURAM,EG,AU,PVT,NA,COED,JNTUK,CSD,53500,240
27,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPURAM,EG,AU,PVT,NA,COED,JNTUK,CSM,53500,384
28,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPURAM,EG,AU,PVT,NA,COED,JNTUK,CIV,53500,48
29,ADIT,ADITYA INSTITUTE OF TECHNOLOGY AND MGMT,TEKKALI,SKL,AU,PVT,NA,COED,JNTUV,CIV,79600,96
30,ADIT,ADITYA INSTITUTE OF TECHNOLOGY AND MGMT,TEKKALI,SKL,AU,PVT,NA,COED,JNTUV,CSM,79600,96
31,ADIT,ADITYA INSTITUTE OF TECHNOLOGY AND MGMT,TEKKALI,SKL,AU,PVT,NA,COED,JNTUV,CSD,79600,96
32,ADIT,ADITYA INSTITUTE OF TECHNOLOGY AND MGMT,TEKKALI,SKL,AU,PVT,NA,COED,JNTUV,CSE,79600,240
33,ADIT,ADITYA INSTITUTE OF TECHNOLOGY AND MGMT,TEKKALI,SKL,AU,PVT,NA,COED,JNTUV,INF,79600,144
34,ADIT,ADITYA INSTITUTE OF TECHNOLOGY AND MGMT,TEKKALI,SKL,AU,PVT,NA,COED,JNTUV,MEC,79600,96
35,ADIT,ADITYA INSTITUTE OF TECHNOLOGY AND MGMT,TEKKALI,SKL,AU,PVT,NA,COED,JNTUV,ECE,79600,240
36,ADIT,ADITYA INSTITUTE OF TECHNOLOGY AND MGMT,TEKKALI,SKL,AU,PVT,NA,COED,JNTUV,EEE,79600,96
37,ADTPPU,ADITYA  UNIVERSITY,SURAMPALEM,EG,SW,Private University,NA,COED,ADTPPU,EEE,60000,42
38,ADTPPU,ADITYA  UNIVERSITY,SURAMPALEM,EG,SW,Private University,NA,COED,ADTPPU,ECE,60000,231
39,ADTPPU,ADITYA  UNIVERSITY,SURAMPALEM,EG,SW,Private University,NA,COED,ADTPPU,MEC,60000,42
40,ADTPPU,ADITYA  UNIVERSITY,SURAMPALEM,EG,SW,Private University,NA,COED,ADTPPU,INF,60000,84
41,ADTPPU,ADITYA  UNIVERSITY,SURAMPALEM,EG,SW,Private University,NA,COED,ADTPPU,CSE,60000,294
42,ADTPPU,ADITYA  UNIVERSITY,SURAMPALEM,EG,SW,Private University,NA,COED,ADTPPU,CSD,60000,147
43,ADTPPU,ADITYA  UNIVERSITY,SURAMPALEM,EG,SW,Private University,NA,COED,ADTPPU,CIV,60000,42
44,ADTPPU,ADITYA  UNIVERSITY,SURAMPALEM,EG,SW,Private University,NA,COED,ADTPPU,AIM,60000,273
45,ADTPPU,ADITYA  UNIVERSITY,SURAMPALEM,EG,SW,Private University,NA,COED,ADTPPU,AGR,60000,42
